source;bucket;variant_role;spell_path;name;file;cost;point_cost;spell_tier;primary_resource_cost;charge_time;cooldown_time;desc
conjuration;choice_spells;;/datum/action/cooldown/spell/command_word/fray;"""Fray""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;;;1 SECONDS;"""Battle order. Order your summon to unleash a Special, or a primordial's special attack. Defend makes it guard. Toggle with Shift-G."""
conjuration;choice_spells;;/datum/action/cooldown/spell/command_word/harry;"""Harry""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;;;6 SECONDS;"""Order your summons to Feint or Kick your enemies. Toggle with Shift+G. """
conjuration;choice_spells;;/datum/action/cooldown/spell/command_word/quicken;"""Quicken""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;SPELLCOST_STAT_BUFF;;25 SECONDS;"""Powerful abilities to quicken your summons. Empower let their next strike bypass Guard, and reset a Primordial's ability cooldown. Surge removes stun and Blood Rush floods it with vigor and blood. Toggle with Shift+G."""
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_dismiss;"""Dismiss Conjuration""";code\modules\spells\spell_types\wizard\conjure\conjure_dismiss.dm;;0;3;;3 SECONDS;30 SECONDS;"""Channel briefly to release your conjured servants back to the leyline. They vanish without violent shock, but the more hurt your servants are, the more of a backlash you will suffer. You are left open while you channel."""
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_projection;"""Spirit Projection""";code\modules\spells\spell_types\wizard\conjure\spirit_projection.dm;;6;3;SPELLCOST_CONJURE;;30 SECONDS;"""Cast your spirit into one of your conjured servants and control it directly, leaving your true body behind. A line links your body to the vessel. If the vessel strays too far, changes Z level, your abandoned body is struck, or the vessel is slain, your spirit is torn home at once. Use Return to Body to withdraw."""
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_recall;"""Recall Servants""";code\modules\spells\spell_types\wizard\conjure\minion_order.dm;;0;3;SPELLCOST_CONJURE;;30 SECONDS;"""Wrench every conjured servant through the leyline to your side, wherever they have strayed - even across floors or a piloted body's leash."""
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_summon/attacker;"""Summon Rogue""";code\modules\spells\spell_types\wizard\conjure\summon_rogue.dm;;;;;;;"""Call forth a swift, lightly-armored rogue. Toggle its loadout with Shift+G: Twin Sabres, Twin Rapiers, Twin Axes, Twin Daggers, Twin Hammers, or Twin Whips.  \"
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_summon/champion;"""Summon Champion""";code\modules\spells\spell_types\wizard\conjure\summon_champion.dm;;;;;;;"""Call forth a bound humanoid champion to fight at your side. Toggle its loadout with Shift+G while the spell is selected: Sword & Shield, Bow, Crossbow, Greatsword, Greataxe, Axe & Shield, Flail & Shield, Great Flail, Spear, or Greatmace. \"
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_summon/hordes;"""Summon Horde""";code\modules\spells\spell_types\wizard\conjure\summon_horde.dm;;;;;;;"""Call forth a coven of three phantasmal gnomes to swarm your foes. Toggle their loadout with Shift+G: Twinblades, Legionnaires, Slingers, Bowmen, Spears, or Flails. Each one killed gives a partial recoil, but nowhere as much as a champion. Recast to reinforce the pack up to three, or replace it once full."""
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_summon/peasant_swarm;"""Conjure Levy""";code\modules\spells\spell_types\wizard\conjure\summon_horde.dm;;;;;;;"""Call forth a levy of three bound peasants, armed with the improvised tools of the field. Toggle their arms with Shift+G: Maciejowski, Bogbark Club, Militia Spear, Militia Scythe, Militia Flail, or Militia War Axe. Each one killed gives a partial recoil."""
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_summon/peasant_swarm;"""Conjure Levy""";code\modules\spells\spell_types\wizard\conjure\summon_horde.dm;;;;;;;"""Call forth a levy of three bound peasants, armed with the improvised tools of the field. Toggle their arms with Shift+G: Maciejowski, Bogbark Club, Militia Spear, Militia Scythe, Militia Flail, or Militia War Axe. Each one killed gives a partial recoil."""
conjuration;choice_spells;;/datum/action/cooldown/spell/conjure_summon/primordial;"""Conjure Primordial""";code\modules\spells\spell_types\wizard\conjure\conjure_primordial.dm;;;;;;;"""Conjure a Primordial to fight at your side. Toggle its element with Shift+G while the spell is selected: Flame, Water, or Air. \"
conjuration;choice_spells;;/datum/action/cooldown/spell/minion_mark;"""Conjurer's Mark""";code\modules\spells\spell_types\wizard\conjure\minion_order.dm;;0;3;;;1 SECONDS;"""Cast on someone to mark them friendly to your conjured servants, or strip an existing mark."""
conjuration;choice_spells;;/datum/action/cooldown/spell/minion_order/conjurer;"""Order Servants""";code\modules\spells\spell_types\wizard\conjure\minion_order.dm;;;;;;;"""Issue commands to your conjured servants - primordials, champions, and the like - within 12 tiles.<br>\"
conjuration;fixed_spells;;/datum/action/cooldown/spell/command_word/beckon;"""Beckon""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;;;30 SECONDS;"""Taunt teleport your servants to a marked spot and attract their aggression, Overload makes one explode with arcyne energy, Focus sets them to strike the zone you are aiming at, it does not guarantee they'll hit."""
conjuration;fixed_spells;;/datum/action/cooldown/spell/command_word/fray;"""Fray""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;;;1 SECONDS;"""Battle order. Order your summon to unleash a Special, or a primordial's special attack. Defend makes it guard. Toggle with Shift-G."""
conjuration;fixed_spells;;/datum/action/cooldown/spell/command_word/harry;"""Harry""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;;;6 SECONDS;"""Order your summons to Feint or Kick your enemies. Toggle with Shift+G. """
conjuration;fixed_spells;;/datum/action/cooldown/spell/command_word/quicken;"""Quicken""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;SPELLCOST_STAT_BUFF;;25 SECONDS;"""Powerful abilities to quicken your summons. Empower let their next strike bypass Guard, and reset a Primordial's ability cooldown. Surge removes stun and Blood Rush floods it with vigor and blood. Toggle with Shift+G."""
conjuration;fixed_spells;;/datum/action/cooldown/spell/conjure_dismiss;"""Dismiss Conjuration""";code\modules\spells\spell_types\wizard\conjure\conjure_dismiss.dm;;0;3;;3 SECONDS;30 SECONDS;"""Channel briefly to release your conjured servants back to the leyline. They vanish without violent shock, but the more hurt your servants are, the more of a backlash you will suffer. You are left open while you channel."""
conjuration;fixed_spells;;/datum/action/cooldown/spell/conjure_projection;"""Spirit Projection""";code\modules\spells\spell_types\wizard\conjure\spirit_projection.dm;;6;3;SPELLCOST_CONJURE;;30 SECONDS;"""Cast your spirit into one of your conjured servants and control it directly, leaving your true body behind. A line links your body to the vessel. If the vessel strays too far, changes Z level, your abandoned body is struck, or the vessel is slain, your spirit is torn home at once. Use Return to Body to withdraw."""
conjuration;fixed_spells;;/datum/action/cooldown/spell/conjure_recall;"""Recall Servants""";code\modules\spells\spell_types\wizard\conjure\minion_order.dm;;0;3;SPELLCOST_CONJURE;;30 SECONDS;"""Wrench every conjured servant through the leyline to your side, wherever they have strayed - even across floors or a piloted body's leash."""
conjuration;fixed_spells;;/datum/action/cooldown/spell/minion_mark;"""Conjurer's Mark""";code\modules\spells\spell_types\wizard\conjure\minion_order.dm;;0;3;;;1 SECONDS;"""Cast on someone to mark them friendly to your conjured servants, or strip an existing mark."""
conjuration;fixed_spells;;/datum/action/cooldown/spell/minion_order/conjurer;"""Order Servants""";code\modules\spells\spell_types\wizard\conjure\minion_order.dm;;;;;;;"""Issue commands to your conjured servants - primordials, champions, and the like - within 12 tiles.<br>\"
conjuration;variants;variant_base;/datum/action/cooldown/spell/conjure_summon/champion;"""Summon Champion""";code\modules\spells\spell_types\wizard\conjure\summon_champion.dm;;;;;;;"""Call forth a bound humanoid champion to fight at your side. Toggle its loadout with Shift+G while the spell is selected: Sword & Shield, Bow, Crossbow, Greatsword, Greataxe, Axe & Shield, Flail & Shield, Great Flail, Spear, or Greatmace. \"
conjuration;variants;variant_replacement;/datum/action/cooldown/spell/conjure_summon/doppelsoldner;"""Conjure Doppel Soldner""";code\modules\spells\spell_types\wizard\conjure\summon_champion.dm;;;;;;;"""Call forth a pair of bound spirits in the guise of Zenitstadt guild fencers, plumed berets and all. Two soldners for the pay of one - lightly armed, lightly drilled, and entirely expendable. Toggle their arms with Shift+G: Spear, Sword & Buckler, or Crossbow."""
cryomancy;fixed_spells;;/datum/action/cooldown/spell/forcewall/ice;"""Ice Wall""";code\modules\spells\spell_types\wizard\cryomancy\ice_wall.dm;;;;;;;"""Conjure a 5x1 wall of solid ice, blocking anyone and anything from shooting or moving through it. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/forcewall/ice;"""Ice Wall""";code\modules\spells\spell_types\wizard\cryomancy\ice_wall.dm;;;;;;;"""Conjure a 5x1 wall of solid ice, blocking anyone and anything from shooting or moving through it. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/fridigitation;"""Fridigitation""";code\modules\spells\spell_types\wizard\cryomancy\fridigitation.dm;;2;1;SPELLCOST_CANTRIP;CHARGETIME_POKE;30 SECONDS;"""An advanced version of Chill Food.\n\"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/fridigitation;"""Fridigitation""";code\modules\spells\spell_types\wizard\cryomancy\fridigitation.dm;;2;1;SPELLCOST_CANTRIP;CHARGETIME_POKE;30 SECONDS;"""An advanced version of Chill Food.\n\"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/frost_bolt;"""Frost Shards""";code\modules\spells\spell_types\wizard\cryomancy\frost_shards.dm;;3;2;SPELLCOST_MINOR_PROJECTILE;CHARGETIME_POKE;6 SECONDS;"""Loose a concentrated spray of frozen shards. The shards lose damage and efffects past 4 paces . \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/frost_bolt;"""Frost Shards""";code\modules\spells\spell_types\wizard\cryomancy\frost_shards.dm;;3;2;SPELLCOST_MINOR_PROJECTILE;CHARGETIME_POKE;6 SECONDS;"""Loose a concentrated spray of frozen shards. The shards lose damage and efffects past 4 paces . \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/rimecast;"""Rimecast""";code\modules\spells\spell_types\wizard\cryomancy\rimecast.dm;;6;3;SPELLCOST_MAJOR_PROJECTILE;CHARGETIME_MAJOR;16 SECONDS;"""Conjure ice and hurl it in one of two forms. Lance drives a single spear straight ahead, punching through up to three foes in a line, leaving two stacks of frost on each. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/rimecast;"""Rimecast""";code\modules\spells\spell_types\wizard\cryomancy\rimecast.dm;;6;3;SPELLCOST_MAJOR_PROJECTILE;CHARGETIME_MAJOR;16 SECONDS;"""Conjure ice and hurl it in one of two forms. Lance drives a single spear straight ahead, punching through up to three foes in a line, leaving two stacks of frost on each. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/verglas;"""Verglas""";code\modules\spells\spell_types\wizard\cryomancy\verglas.dm;;3;2;SPELLCOST_MAJOR_AOE;CHARGETIME_MAJOR;20 SECONDS;"""Lay a 7x7 patch of treacherous ice; anyone who steps onto it slides in the direction they were moving until they run off. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/verglas;"""Verglas""";code\modules\spells\spell_types\wizard\cryomancy\verglas.dm;;3;2;SPELLCOST_MAJOR_AOE;CHARGETIME_MAJOR;20 SECONDS;"""Lay a 7x7 patch of treacherous ice; anyone who steps onto it slides in the direction they were moving until they run off. \"
cryomancy;variants;;/datum/action/cooldown/spell/frozen_mist;"""Frozen Mist""";code\modules\spells\spell_types\wizard\cryomancy\frozen_mist.dm;;;;SPELLCOST_ULTIMATE;CHARGETIME_HEAVY;60 SECONDS;"""Conjure a persistent cloud of freezing mist over a large area. \"
displacement;fixed_spells;;/datum/action/cooldown/spell/phase;"""Phase""";code\modules\spells\spell_types\wizard\misc\phase.dm;;3;2;SPELLCOST_STAT_BUFF;CHARGETIME_POKE;45 SECONDS;"""Slip your body partly out of the world, becoming hazy and ethereal. For a short time you move faster and pass straight through other beings. The effect is stronger in lighter armor."""
exowardry;fixed_spells;;/datum/action/cooldown/spell/forcewall;"""Forcewall""";code\modules\spells\spell_types\wizard\conjure\forcewall.dm;;1;2;SPELLCOST_MINOR_AOE;1 SECONDS;30 SECONDS;"""Conjure a 5x1 wall of arcyne force in front of you, preventing anyone and anything from moving through it.\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/arcyne_forge;"""Arcyne Forge""";code\modules\spells\spell_types\wizard\conjure\arcyne_forge.dm;;2;2;SPELLCOST_CONJURE;2 SECONDS;1 MINUTES;"""Conjure a weapon or tool of your choice. Conjured items have halved durability.\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/bind_armament;"""Bind Armament""";code\modules\spells\spell_types\wizard\ferramancy\bind_armament.dm;;2;1;SPELLCOST_CANTRIP;CHARGETIME_MINOR;3 SECONDS;"""Bind a weapon, changing its skills to Arcyne Armament instead of its original skill. Once it is unbound, it returns to the original skill. Cast with an empty hand to release the bond. If another takes up the weapon, the bond snaps."""
ferramancy;fixed_spells;;/datum/action/cooldown/spell/conjure_arcyne_ward/crystalhide;"""Conjure Crystalhide Ward""";code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;;4;3;;6 SECONDS;;"""Conjure a crystalhide ward - an upgraded arcyne ward crystallized with leyline energy. \"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/ferramancy_strike/falling_crescent;"""Falling Crescent""";code\modules\spells\spell_types\wizard\ferramancy\ferramancy_strikes.dm;;;;;;;"""Wind up a greatsword's edge, then sweep a wide arc across the tiles in front of you, cleaving everything in reach right to left. You are slowed and left wide open as you wind it up, but once begun it cannot be stopped - only stepped clear of. This strike can be defended against, but not parried or dodged.\n\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/ferramancy_strike/heavens_hammer;"""Heaven's Hammer""";code\modules\spells\spell_types\wizard\ferramancy\ferramancy_strikes.dm;;;;;;;"""Heave a conjured maul overhead, then bring it crashing down on the ground before you, leaving any struck reeling and vulnerable. This strike can be defended against, but not parried or dodged.\n\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/ferramancy_strike/sorcerers_lance;"""Sorcerer's Lance""";code\modules\spells\spell_types\wizard\ferramancy\ferramancy_strikes.dm;;;;;;;"""Wind up a couched lance, then drive it forward in a straight line, skewering everything up to five tiles ahead. You are slowed and left wide open as you wind it up, but once begun it cannot be stopped - only stepped clear of. This strike can be defended against, but not parried or dodged.\n\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/form_blade;"""Form Blade""";code\modules\spells\spell_types\wizard\ferramancy\blade_form_spells.dm;;;1;SPELLCOST_FORM_BLADE;CHARGETIME_POKE;5 SECONDS;"""Conjure an arcyne weapon shaped by your will and mana alone. Cycle the form with Shift+G. Only one conjured form may exist at a time."""
ferramancy;fixed_spells;;/datum/action/cooldown/spell/mending;"""Mending""";code\modules\spells\spell_types\wizard\utility\mending.dm;;2;1;SPELLCOST_CANTRIP;;20 SECONDS;"""Uses arcyne energy to mend an item, prosthetic or artificial being. Effect of repair scales off of your Intelligence."""
ferramancy;variants;;/datum/action/cooldown/spell/blade_dance;"""Blade Dance""";code\modules\spells\spell_types\wizard\ferramancy\blade_dance.dm;;;;SPELLCOST_ULTIMATE;CHARGETIME_HEAVY;60 SECONDS;"""Wreathe yourself in a whirling storm of arcyne blades that moves with you, slashing everything in the tiles around you.\n\n\"
ferramancy;variants;;/datum/action/cooldown/spell/form_blade/form_hammer;"""Form Hammer""";code\modules\spells\spell_types\wizard\ferramancy\form_hammer.dm;;;;;;;"""Shape raw mana into a massive arcyne maul, the Grôzehamer. Only one conjured form may exist at a time."""
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/fulmination;"""Fulmination""";code\modules\spells\spell_types\wizard\fulgurmancy\fulmination.dm;;;3;SPELLCOST_MAJOR_AOE;CHARGETIME_MINOR;12 SECONDS;"""Cast down storm on your enemy. Toggle firing mode (Shift+G):\n\"
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/levinstroke;"""Levinstroke""";code\modules\spells\spell_types\wizard\fulgurmancy\levinstroke.dm;;;2;SPELLCOST_MAJOR_PROJECTILE;CHARGETIME_MINOR;30 SECONDS;"""Transform yourself briefly into a bolt of lightning toward a target location, inflicting 60 burn damage to any living things in your path."""
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/light;"""Light""";code\modules\spells\spell_types\wizard\utility\light.dm;;1;1;SPELLCOST_CANTRIP;0.5 SECONDS;30 SECONDS;"""Summons a condensed orb of light."""
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/projectile/arc_bolt;"""Arc Bolt""";code\modules\spells\spell_types\wizard\fulgurmancy\arc_bolt.dm;;;;SPELLCOST_MINOR_PROJECTILE;CHARGETIME_POKE;6.5 SECONDS;"""Fire a precise jolt of lightning that sears a target's struck body part with heavy burn. \"
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/projectile/lightning_bolt;"""Bolt of Lightning""";code\modules\spells\spell_types\wizard\fulgurmancy\bolt_of_lightning.dm;;;;SPELLCOST_MAJOR_PROJECTILE;CHARGETIME_MAJOR;15 SECONDS;"""Emit a bolt of lightning that burns a target, slowing them down and impairing their accuracy for 6 seconds. \"
fulgurmancy;variants;;/datum/action/cooldown/spell/greater_thunderstrike;"""Greater Thunderstrike""";code\modules\spells\spell_types\wizard\fulgurmancy\greater_thunderstrike.dm;;;;SPELLCOST_ULTIMATE;CHARGETIME_HEAVY;60 SECONDS;"""PLACEHOLDER MASTERY SPELL - may be replaced later.\n\n\"
geomancy;fixed_spells;;/datum/action/cooldown/spell/geas;"""Geas""";code\modules\spells\spell_types\wizard\geomancy\geas.dm;;;;SPELLCOST_MAJOR_AOE;1 SECONDS;25 SECONDS;"""Lay a geas upon a small patch of ground - roots of stone and arcyne force bind anyone caught there fast for 3 seconds. Can hit yourself."""
geomancy;fixed_spells;;/datum/action/cooldown/spell/magicians_stone;"""Magician's Stone""";code\modules\spells\spell_types\wizard\geomancy\magicians_stone.dm;;1;1;SPELLCOST_CANTRIP;;2 MINUTES;"""Tear several stones from the earth itself and materialize them at your feet."""
geomancy;fixed_spells;;/datum/action/cooldown/spell/menhir;"""Menhir""";code\modules\spells\spell_types\wizard\geomancy\menhir.dm;;;2;SPELLCOST_MAJOR_PROJECTILE;CHARGETIME_MAJOR;15 SECONDS;"""Hurl a massive boulder that shatters into stone fragments and deals double damage to structures.\n\"
geomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/gravel_blast;"""Gravel Blast""";code\modules\spells\spell_types\wizard\geomancy\gravel_blast.dm;;;;SPELLCOST_MINOR_PROJECTILE;CHARGETIME_POKE;6 SECONDS;"""Spray a volley of stones at a target. Stones ricochet off walls. Subsequent hits on the same target deal reduced damage. \"
