source;bucket;variant_role;spell_path;name;file;cost;charge_time;cooldown_time;desc
ferramancy;fixed_spells;;/datum/action/cooldown/spell/ferramancy_strike/falling_crescent;"""Falling Crescent""";code\modules\spells\spell_types\wizard\ferramancy\ferramancy_strikes.dm;;;;"""Wind up a greatsword's edge, then sweep a wide arc across the tiles in front of you, cleaving everything in reach right to left. You are slowed and left wide open as you wind it up, but once begun it cannot be stopped - only stepped clear of. This strike can be defended against, but not parried or dodged.\n\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/ferramancy_strike/heavens_hammer;"""Heaven's Hammer""";code\modules\spells\spell_types\wizard\ferramancy\ferramancy_strikes.dm;;;;"""Heave a conjured maul overhead, then bring it crashing down on the ground before you, leaving any struck reeling and vulnerable.\n\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/ferramancy_strike/sorcerers_lance;"""Sorcerer's Lance""";code\modules\spells\spell_types\wizard\ferramancy\ferramancy_strikes.dm;;;;"""Wind up a couched lance, then drive it forward in a straight line, skewering everything up to five tiles ahead. You are slowed and left wide open as you wind it up, but once begun it cannot be stopped - only stepped clear of.\n\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/form_blade;"""Form Blade""";code\modules\spells\spell_types\wizard\ferramancy\blade_form_spells.dm;;CHARGETIME_POKE;5 SECONDS;"""Conjure an arcyne weapon shaped by your will and mana alone. Cycle the form with Shift+G. Only one conjured form may exist at a time."""
ferramancy;fixed_spells;;/datum/action/cooldown/spell/mending;"""Mending""";code\modules\spells\spell_types\wizard\utility\mending.dm;;;20 SECONDS;"""Uses arcyne energy to mend an item, prosthetic or artificial being. Effect of repair scales off of your Intelligence."""
ferramancy;fixed_spells;;/datum/action/cooldown/spell/projectile/stygian_efflorescence;"""Stygian Efflorescence""";code\modules\spells\spell_types\wizard\ferramancy\stygian_efflorescence.dm;;CHARGETIME_MINOR;20 SECONDS;"""Charge up, then loose a volley of five sharpened obsidian shards in a wide spread, blasting out in the direction you face. The first shard can cause a critical wound, but shards on the same target deal greatly reduced damage (8 damage) and cannot crit. Projectile effectiveness decreases after 5 tiles."""
ferramancy;variants;;/datum/action/cooldown/spell/blade_dance;"""Blade Dance""";code\modules\spells\spell_types\wizard\ferramancy\blade_dance.dm;;CHARGETIME_HEAVY;60 SECONDS;"""Wreathe yourself in a whirling storm of arcyne blades that moves with you, slashing everything in the tiles around you.\n\n\"
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/heavens_strike;"""Heaven's Strike""";code\modules\spells\spell_types\wizard\fulgurmancy\heavens_strike.dm;;CHARGETIME_POKE;10 SECONDS;"""Call down a single devastating bolt of lightning on a target location, striking the aimed body part. \"
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/light;"""Light""";code\modules\spells\spell_types\wizard\utility\light.dm;;0.5 SECONDS;30 SECONDS;"""Summons a condensed orb of light."""
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/projectile/arc_bolt;"""Arc Bolt""";code\modules\spells\spell_types\wizard\fulgurmancy\arc_bolt.dm;;CHARGETIME_POKE;6.5 SECONDS;"""Fire a quick jolt of lightning at a target. Deals less damage than most other minor offensive spells, but strikes instantly. \"
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/projectile/lightning_bolt;"""Bolt of Lightning""";code\modules\spells\spell_types\wizard\fulgurmancy\lightning_bolt.dm;;CHARGETIME_MAJOR;15 SECONDS;"""Emit a bolt of lightning that burns a target, slowing them down and impairing their accuracy for 6 seconds. \"
fulgurmancy;fixed_spells;;/datum/action/cooldown/spell/thunderstrike;"""Thunderstrike""";code\modules\spells\spell_types\wizard\fulgurmancy\thunderstrike.dm;;CHARGETIME_HEAVY;20 SECONDS;"""Call a high-damage strike of lightning onto an area, followed by lesser aftershocks that ripple outwards in concentric layers."""
fulgurmancy;variants;;/datum/action/cooldown/spell/greater_thunderstrike;"""Greater Thunderstrike""";code\modules\spells\spell_types\wizard\fulgurmancy\greater_thunderstrike.dm;;CHARGETIME_HEAVY;60 SECONDS;"""PLACEHOLDER MASTERY SPELL - may be replaced later.\n\n\"
geomancy;fixed_spells;;/datum/action/cooldown/spell/emergence;"""Emergence""";code\modules\spells\spell_types\wizard\geomancy\emergence.dm;;CHARGETIME_POKE;12 SECONDS;"""Command stone to erupt from the earth, dealing heavy damage to anyone standing on the target and repelling everyone nearby back 1 pace. Leaves a temporary stone pillar behind. \"
geomancy;fixed_spells;;/datum/action/cooldown/spell/ensnare;"""Ensnare""";code\modules\spells\spell_types\wizard\geomancy\ensnare.dm;;1 SECONDS;25 SECONDS;"""Tendrils of arcyne force hold anyone in a small area in place for a short while."""
geomancy;fixed_spells;;/datum/action/cooldown/spell/magicians_stone;"""Magician's Stone""";code\modules\spells\spell_types\wizard\geomancy\magicians_stone.dm;;;2 MINUTES;"""Tear several stones from the earth itself and materialize them at your feet."""
geomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/boulder_strike;"""Boulder Strike""";code\modules\spells\spell_types\wizard\geomancy\boulder_strike.dm;;CHARGETIME_MAJOR;15 SECONDS;"""Hurl a massive boulder at a target. On impact, it shatters into a cloud of stone fragments. \"
geomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/gravel_blast;"""Gravel Blast""";code\modules\spells\spell_types\wizard\geomancy\gravel_blast.dm;;CHARGETIME_POKE;5.5 SECONDS;"""Spray a volley of stones at a target. Stones ricochet off walls. Subsequent hits on the same target deal reduced damage. \"
geomancy;variants;;/datum/action/cooldown/spell/meteor_strike;"""Meteor Strike""";code\modules\spells\spell_types\wizard\geomancy\meteor_strike.dm;;CHARGETIME_HEAVY;60 SECONDS;"""Call down a devastating barrage of nine boulders onto a wide area. \"
global_utility;utility_spells;;/datum/action/cooldown/spell/chill_food;"""Chill Food""";code\modules\spells\spell_types\wizard\cryomancy\chill_food.dm;;CHARGETIME_POKE;30 SECONDS;"""Chill a piece of food with a touch of frost without affecting its quality, extending its freshness by a half of a dae (15 MINUTES OOC). \"
global_utility;utility_spells;;/datum/action/cooldown/spell/conjure_instrument;"""Conjure Instrument""";code\modules\spells\spell_types\wizard\conjure\conjure_instrument.dm;;1 SECONDS;1 MINUTES;"""Conjure a Instrument of your choice in your hand.\n\"
global_utility;utility_spells;;/datum/action/cooldown/spell/conjure_spectacles;"""Conjure Spectacles""";code\modules\spells\spell_types\wizard\conjure\conjure_spectacles.dm;;1 SECONDS;30 SECONDS;"""Conjure an illusionary set of Spectacles of your choice in your hand.\n\"
global_utility;utility_spells;;/datum/action/cooldown/spell/create_campfire;"""Create Campfire""";code\modules\spells\spell_types\wizard\utility\create_campfire.dm;;3 SECONDS;60 SECONDS;"""Creates a magical campfire to cook on. 3 tiles range. Lasts for 10 minutes."""
global_utility;utility_spells;;/datum/action/cooldown/spell/darkvision;"""Darkvision""";code\modules\spells\spell_types\wizard\augmentation\darkvision.dm;;1 SECONDS;1.5 MINUTES;"""Enhance the night vision of yourself and everyone around you for 15 minutes."""
global_utility;utility_spells;;/datum/action/cooldown/spell/fridigitation;"""Fridigitation""";code\modules\spells\spell_types\wizard\cryomancy\fridigitation.dm;;CHARGETIME_POKE;30 SECONDS;"""An advanced version of Chill Food.\n\"
global_utility;utility_spells;;/datum/action/cooldown/spell/greater_cleaning;"""Greater Cleaning""";code\modules\spells\spell_types\wizard\kinesis\greater_cleaning.dm;;CHARGETIME_POKE;10 SECONDS;"""Unleash a wave of kinetic force that scours a nearby area clean of grime and debris."""
global_utility;utility_spells;;/datum/action/cooldown/spell/lesser_knock;"""Lesser Knock""";code\modules\spells\spell_types\wizard\misc\lesser_knock.dm;;;5 SECONDS;"""A simple spell used to focus the arcyne into an instrument for lockpicking. Can be dispelled by using it on anything that isn't a locked/unlocked door."""
global_utility;utility_spells;;/datum/action/cooldown/spell/light;"""Light""";code\modules\spells\spell_types\wizard\utility\light.dm;;0.5 SECONDS;30 SECONDS;"""Summons a condensed orb of light."""
global_utility;utility_spells;;/datum/action/cooldown/spell/magicians_brick;"""Magician's Brick""";code\modules\spells\spell_types\wizard\misc\magicians_brick.dm;;;5 SECONDS;"""Conjure a magical brick in your hand. Its power scale up to your Intelligence\n\"
global_utility;utility_spells;;/datum/action/cooldown/spell/magicians_rock;"""Magician's Rock""";code\modules\spells\spell_types\wizard\geomancy\magicians_rock.dm;;;2 MINUTES;"""Tear a boulder from the earth itself and materialize it at your feet."""
global_utility;utility_spells;;/datum/action/cooldown/spell/magicians_stone;"""Magician's Stone""";code\modules\spells\spell_types\wizard\geomancy\magicians_stone.dm;;;2 MINUTES;"""Tear several stones from the earth itself and materialize them at your feet."""
global_utility;utility_spells;;/datum/action/cooldown/spell/mending;"""Mending""";code\modules\spells\spell_types\wizard\utility\mending.dm;;;20 SECONDS;"""Uses arcyne energy to mend an item, prosthetic or artificial being. Effect of repair scales off of your Intelligence."""
global_utility;utility_spells;;/datum/action/cooldown/spell/message;"""Message""";code\modules\spells\spell_types\wizard\utility\message.dm;;1 SECONDS;60 SECONDS;"""Latch onto the mind of one who is familiar to you, whispering a message or sending an intuitive projection into their head."""
global_utility;utility_spells;;/datum/action/cooldown/spell/mindlink;"""Mindlink""";code\modules\spells\spell_types\wizard\utility\mindlink.dm;;2 SECONDS;3 MINUTES;"""Establish a telepathic link with an ally for three minutes. Use ,Y before a message to communicate telepathically."""
global_utility;utility_spells;;/datum/action/cooldown/spell/mirror_transform;"""Mirror Transform""";code\modules\spells\spell_types\wizard\utility\mirror_transform.dm;;1 SECONDS;300 SECONDS;"""Temporarily grants you the ability to use mirrors to change your appearance."""
global_utility;utility_spells;;/datum/action/cooldown/spell/nondetection;"""Nondetection""";code\modules\spells\spell_types\wizard\augmentation\nondetection.dm;;1 SECONDS;10 SECONDS;"""Shroud a target from divination magic for 1 hour."""
global_utility;utility_spells;;/datum/action/cooldown/spell/projectile/lesser_fetch;"""Lesser Fetch""";code\modules\spells\spell_types\wizard\projectiles_single\lesser_fetch.dm;;;8 SECONDS;"""Shoot out a magical bolt that draws in a freestanding item towards the caster. Doesn't work on living targets."""
global_utility;utility_spells;;/datum/action/cooldown/spell/projectile/lesser_repel;"""Lesser Repel""";code\modules\spells\spell_types\wizard\projectiles_single\lesser_repel.dm;;;15 SECONDS;"""Shoot out a magical bolt that pushes away a freestanding item from the caster. Doesn't work on large or living targets. Instead of repelling a target, it will throw an object in your hand if cast while in throw mode."""
global_utility;utility_spells;;/datum/action/cooldown/spell/projectile/waterbolt;"""Water Bolt""";code\modules\spells\spell_types\wizard\projectiles_single\waterbolt.dm;;;8 SECONDS;"""Shoot out a magical bolt of water that extinguishes fires from a distance."""
global_utility;utility_spells;;/datum/action/cooldown/spell/readomen;"""Read Omen""";code\modules\spells\spell_types\wizard\augmentation\readomen.dm;;2 SECONDS;2 MINUTES;"""Casting this spell, you draw upon the leylines themselves to reveal secrets of fate itself. \n\"
global_utility;utility_spells;;/datum/action/cooldown/spell/touch/rune_ward;"""Rune Ward""";code\modules\spells\spell_types\wizard\utility\rune_ward.dm;;;30 SECONDS;"""Channel arcyne energy through ash to inscribe protective runes upon the ground. The runes trigger when trespassers cross them - but can be circumvented by jumping or flying over them. Includes the following modes:\n \"
global_utility;utility_spells;;/datum/action/cooldown/spell/transcribe;"""Transcribe""";code\modules\spells\spell_types\wizard\conjure\transcribe.dm;;0.5 SECONDS;30 SECONDS;"""Conjure a parchment and a magical quill to write for you. \n\"
hearthcraft;fixed_spells;;/datum/action/cooldown/spell/create_campfire;"""Create Campfire""";code\modules\spells\spell_types\wizard\utility\create_campfire.dm;;3 SECONDS;60 SECONDS;"""Creates a magical campfire to cook on. 3 tiles range. Lasts for 10 minutes."""
hearthcraft;fixed_spells;;/datum/action/cooldown/spell/great_shelter;"""Great Shelter""";code\modules\spells\spell_types\wizard\utility\great_shelter.dm;;5 SECONDS;5 MINUTES;"""Conjure a cramped but functional shelter from arcyne force.\n\"
hex;fixed_spells;;/datum/action/cooldown/spell/wither;"""Wither""";code\modules\spells\spell_types\wizard\hex\wither.dm;;CHARGETIME_MAJOR;20 SECONDS;"""Lash out a delayed line of dark magic, sapping the physical prowess of all in its path.\n\"
illusion;fixed_spells;;/obj/effect/proc_holder/spell/invoked/invisibility;"""Invisibility""";code\modules\spells\spell_types\wizard\legacy_spells_unused\invisibility.dm;3;;;"""Make another (or yourself) invisible for some time. Duration scales with intelligence. Casting, attacking or being attacked will cancel the duration."""
kinesis;fixed_spells;;/datum/action/cooldown/spell/crush;"""Crush""";code\modules\spells\spell_types\wizard\kinesis\crush.dm;;CHARGETIME_MINOR;8 SECONDS;"""Compress gravitational force onto a single point, crushing the aimed body part. It is telegraphed and can be walked out of. \"
kinesis;fixed_spells;;/datum/action/cooldown/spell/gravity;"""Gravity""";code\modules\spells\spell_types\wizard\kinesis\gravity.dm;;CHARGETIME_MAJOR;20 SECONDS;"""Weighten space around someone, crushing them and knocking them to the floor. Stronger opponents will resist and be off-balanced. Target can adapt to gravity for 15 seconds after being knocked down, making them stand firm against conseuctive hit.\n\n\"
kinesis;fixed_spells;;/datum/action/cooldown/spell/gravity_anchor;"""Gravity Anchor""";code\modules\spells\spell_types\wizard\kinesis\gravity_anchor.dm;;CHARGETIME_MAJOR;25 SECONDS;"""Massively increase gravity in a 5x5 area, weighing down everyone within - including yourself. \"
kinesis;fixed_spells;;/datum/action/cooldown/spell/greater_cleaning;"""Greater Cleaning""";code\modules\spells\spell_types\wizard\kinesis\greater_cleaning.dm;;CHARGETIME_POKE;10 SECONDS;"""Unleash a wave of kinetic force that scours a nearby area clean of grime and debris."""
kinesis;fixed_spells;;/datum/action/cooldown/spell/projectile/basic_offensive;"""Basic Offensive Magic""";code\modules\spells\spell_types\wizard\projectiles_single\basic_offensive.dm;;CHARGETIME_POKE;5.5 SECONDS;"""Fundamental attack magyck. Used for centuries. Toggle firing mode (Shift+G) while the spell is active: \"
kinesis;variants;;/datum/action/cooldown/spell/mass_crush;"""Mass Crush""";code\modules\spells\spell_types\wizard\kinesis\mass_crush.dm;;CHARGETIME_HEAVY;60 SECONDS;"""Compress gravitational force over a wide area, crushing everyone within. \"
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/blood_rush;"""Blood Rush""";code\modules\spells\spell_types\wizard\augmentation\blood_rush.dm;;;60 SECONDS;"""Flood the target's veins with a surge of vigor, quickening their body for a short burst."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/enlarge;"""Enlarge Person""";code\modules\spells\spell_types\wizard\augmentation\enlarge.dm;;;2 MINUTES;"""For a time, enlarges your target to a giant hulking version of themselves capable of bashing into doors. Does not work on folk who are already large. Can only be used on members of your fellowship."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/grasp;"""Grasp""";code\modules\spells\spell_types\wizard\augmentation\grasp.dm;;;45 SECONDS;"""Reach out to a target within 7 tiles and wrench them to your side after a 2-second channel. An arcyne tether links you to them while you reel them in, warning them to ready themselves. They must share a fellowship with you and still be within your sight when the channel completes."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/guidance;"""Guidance""";code\modules\spells\spell_types\wizard\augmentation\guidance.dm;;;90 SECONDS;"""Sharpens the senses with arcyne focus, honing the target's awareness. (+3 Perception)"""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/precognition;"""Precognition""";code\modules\spells\spell_types\wizard\augmentation\precognition.dm;;0.5 SECONDS;75 SECONDS;"""Peer a few moments into the future for yourself or an ally, readying them before the moment arrives. Cuts 30 seconds from the remaining cooldown of the target's Defend and Special."""
lesser_augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/surge;"""Surge""";code\modules\spells\spell_types\wizard\augmentation\surge.dm;;;;"""Flood someone's body with vigors, instantly shaking off any stun, restoring their stamina and bringing them back to their feet. Cannot be cast on yourself"""
