scope;file;datum_path;name;desc;cost;point_cost;spell_tier;primary_resource_cost;charge_time;cooldown_time;sound;overlay_state;action_icon_state;spell_type;invocation_type;antimagic_flags
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\empower_weapon.dm;/datum/action/cooldown/spell/empower_weapon;"""Empower Weapon""";"""Channel all accumulated momentum into your next strike, empowering it to bypass parry and dodge. Works with both weapons and unarmed attacks. \";;;1;0;;30 SECONDS;'sound/magic/antimagic.ogg';;;;INVOCATION_NONE;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\gate_of_reckoning.dm;/datum/action/cooldown/spell/gate_of_reckoning;"""Gate of Reckoning""";"""Porta Iudicii - the Gate of Judgement. Summon two phantom spears that flank you in formation. \";;;3;SPELLCOST_SB_ULT;;60 SECONDS;'sound/magic/antimagic.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\leyline_anchor.dm;/datum/action/cooldown/spell/leyline_anchor;"""Leyline Anchor""";"""Anchor an arcyne tether to the leyline beneath your feet. Recast to recall. \";;;1;SPELLCOST_SB_MOBILITY;;30 SECONDS;'sound/misc/portalactivate.ogg';;;;INVOCATION_WHISPER;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\recall_weapon.dm;/datum/action/cooldown/spell/recall_weapon;"""Recall Weapon""";"""Recall your bound weapon to your hand from anywhere.""";;;1;SPELLCOST_SB_MOBILITY;;20 SECONDS;'sound/magic/blink.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\shatter.dm;/datum/action/cooldown/spell/telegraphed_strike/spellblade/shatter;"""Shatter""";"""Wind up a blow, then strike a line straight ahead of you, hurling those struck back a tile. Cuts for 40 damage \";;;;;;;null;;;;;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\tremor.dm;/datum/action/cooldown/spell/telegraphed_strike/spellblade/tremor;"""Tremor""";"""The earth answers. Wind up a strike, then erupt the ground in a ring around you, hurling back everyone adjacent a tile. The ring follows you as you wind up your weapon, and follow your weapon's damage type. \";;;;;;;null;;;;;
classunique/spellfist;code\modules\spells\spell_types\classunique\spellfist\blade_of_psydon.dm;/datum/action/cooldown/spell/blade_of_psydon;"""Blade of Psydon""";"""The manifestation of the higher concept of a blade itself. Said to be drawn upon from Noc's treasury of wisdom, each casting a poor facsimile of the perfect weapon They hold.\n\n\";;;1;SPELLCOST_MINOR_SUMMON;;1 SECONDS;;;;;;
classunique/spellfist;code\modules\spells\spell_types\classunique\spellfist\fist_of_psydon.dm;/datum/action/cooldown/spell/fist_of_psydon;"""Fist of Psydon""";"""Slam your fist downward, sending arcyne force crashing into a 3x3 target area up to 5 paces away. \";;;2;SPELLCOST_SB_POKE;CHARGETIME_POKE;12 SECONDS;list('sound/combat/wooshes/punch/punchwoosh (1).ogg','sound/combat/wooshes/punch/punchwoosh (2).ogg','sound/combat/wooshes/punch/punchwoosh (3).ogg');;;;INVOCATION_SHOUT;
classunique/spellfist;code\modules\spells\spell_types\classunique\spellfist\grasp_of_psydon.dm;/datum/action/cooldown/spell/grasp_of_psydon;"""Grasp of Psydon""";"""Slam your open palm forward, sending forth tendrils of arcyne force to a target area up to 4 paces away on the same level. After a brief telegraph, all targets in the area are yanked toward you. \";;;2;SPELLCOST_MINOR_AOE;0.5 SECONDS;20 SECONDS;list('sound/combat/wooshes/punch/punchwoosh (1).ogg','sound/combat/wooshes/punch/punchwoosh (2).ogg','sound/combat/wooshes/punch/punchwoosh (3).ogg');;;;INVOCATION_SHOUT;
classunique/spellfist;code\modules\spells\spell_types\classunique\spellfist\shadowstep.dm;/datum/action/cooldown/spell/blink/shadowstep;"""Shadowstep""";"""Project your shadow to swap places with it, teleporting several paces away. Limited to a range of 5 paces. Only works on the same plane as the caster.\n\";;;;;;;;;;;INVOCATION_WHISPER;
classunique/spellfist;code\modules\spells\spell_types\classunique\spellfist\storm_of_psydon.dm;/datum/action/cooldown/spell/storm_of_psydon;"""Storm of Psydon""";"""Channel mana into your legs to leap toward a target from a distance, closing the gap rapidly. \";;;3;SPELLCOST_SB_ULT;1 SECONDS;60 SECONDS;list('sound/combat/wooshes/punch/punchwoosh (1).ogg','sound/combat/wooshes/punch/punchwoosh (2).ogg','sound/combat/wooshes/punch/punchwoosh (3).ogg');;;;INVOCATION_SHOUT;
classunique/vizier;code\modules\spells\spell_types\classunique\vizier\acceleration.dm;/datum/action/cooldown/spell/vizier/acceleration;"""Acceleration""";"""Displace a target slightly ahead of local time, dramatically increasing their speed and reactions. When reality catches up, the resulting temporal strain leaves them sluggish and exhausted.""";;;;75;;45 SECONDS;list('sound/magic/haste.ogg');;;;INVOCATION_SHOUT;
classunique/vizier;code\modules\spells\spell_types\classunique\vizier\diminish.dm;/obj/effect/proc_holder/spell/invoked/diminish;"""Diminish""";"""Diminishes all targets in an area through origin magick, reducing their ability to parry and dodge by 20% and sapping their physical faculties. Applies -2 to STR and CON.""";2;;;;;;list('sound/magic/diminish1.ogg','sound/magic/diminish2.ogg','sound/magic/diminish3.ogg','sound/magic/diminish4.ogg');"""diminish""";;;"""shout""";
classunique/vizier;code\modules\spells\spell_types\classunique\vizier\restoration.dm;/datum/action/cooldown/spell/vizier;;;;;;;;;;;;;;
classunique/vizier;code\modules\spells\spell_types\classunique\vizier\restoration.dm;/datum/action/cooldown/spell/vizier/restoration;"""Restoration""";"""Uses Origin Magick to gradually rewind a target's body to a healthier state. The effects happen in order, and only one at a time. Removes embedded objects, stops bleeding, grants health regeneration and energy recovery. The nature of time-based manipulation allows this to work on most targets.""";;;;;;12 SECONDS;list('sound/magic/regression1.ogg', 'sound/magic/regression2.ogg', 'sound/magic/regression3.ogg', 'sound/magic/regression4.ogg');;;;INVOCATION_WHISPER;
classunique/vizier;code\modules\spells\spell_types\classunique\vizier\restoration.dm;/datum/action/cooldown/spell/vizier/restoration/lesser;;;;;;;;24 SECONDS;;;;;;
classunique/vizier;code\modules\spells\spell_types\classunique\vizier\reversion.dm;/datum/action/cooldown/spell/vizier/reversion;"""Reversion""";"""A demanding and difficult to execute spell that reverts a target to a prior state in their timestream before they were injured, instantaneously healing a large amount of damage and stopping bleeding. It does not restore blood, due to the nature of how it flows.""";3;;1;60;15 SECONDS;4 MINUTES;'sound/magic/timeforward.ogg';;;;INVOCATION_WHISPER;
necromancer;code\modules\spells\roguetown\necromancer\bone_chill.dm;/datum/action/cooldown/spell/bonechill;"""Bone Chill""";"""Chill the chosen target with a burst of necrotic magicka. Applies a strong slowdown effect to the chosen target if living, alongside further reducing their Strength and Speed. Heals undead instead on the targeted limb. Cannot self-cast.""";;;2;SPELLCOST_MAJOR_PROJECTILE;5;15 SECONDS;'sound/magic/whiteflame.ogg';;;;;
necromancer;code\modules\spells\roguetown\necromancer\bone_mend.dm;/datum/action/cooldown/spell/bonemend;"""Bone Mend""";"""Mend the chosen target's bones with a burst of necrotic magick. Requires a moment to channel and only works at short-range. Heals only undead on the targeted limb.""";;;;50;5 SECONDS;30 SECONDS;'sound/magic/whiteflame.ogg';;;;;
necromancer;code\modules\spells\roguetown\necromancer\covert_the_downtrodden.dm;/datum/action/cooldown/spell/convert_heretic;"""Convert to Ecclesiarchy""";"""Initiate a lengthy ritual to convert a willing soul into your faith.""";;;;125;10 SECONDS;5 MINUTES;'sound/magic/bless.ogg';;;;INVOCATION_WHISPER;
necromancer;code\modules\spells\roguetown\necromancer\eyebite.dm;/datum/action/cooldown/spell/eyebite;"""Eyebite""";"""Manipulate the shadows within a chosen target's eye into jagged, gnashing teeth. Temporarily blinds the chosen target, while moderately damaging them.""";;;;30;15;35 SECONDS;'sound/items/beartrap.ogg';;;;;
necromancer;code\modules\spells\roguetown\necromancer\gravemark.dm;/datum/action/cooldown/spell/gravemark;"""Gravemark""";"""Adjusts a chosen target's status, allowing you to denote them as an ally to the undead creechers under your command. </br>Marked allies \";;;;;;3 SECONDS;null;;;;;
necromancer;code\modules\spells\roguetown\necromancer\gravemark.dm;/datum/action/cooldown/spell/gravemark/no_sprite;;;;;;;;;;;;;;
necromancer;code\modules\spells\roguetown\necromancer\lacrima.dm;/datum/action/cooldown/spell/lacrima;"""Lacrima""";"""Requires an aggressive grab on a prone and living target. Begin a dark ritual that fractures their ribcage and, directly but violently, extracts their Lux.""";;;;100;;5 MINUTES;;;;;;
necromancer;code\modules\spells\roguetown\necromancer\lacrima.dm;/datum/action/cooldown/spell/lacrima/zizo;;;;;;100;;1 MINUTES;;;;;;
necromancer;code\modules\spells\roguetown\necromancer\raise_undead_formation.dm;/datum/action/cooldown/spell/raise_undead_formation;"""Raise Undead Formation""";"""Invoke forbidden magicka to summon a cohort of mindless, shambling skeletons.\nMindless skeletons can be given orders to guard, patrol, and attack by their summoner.\nThese skeletons are weaker than their more complex-jointed counterparts, but are harder to incapacitate.""";;;;40;3 SECONDS;25 SECONDS;'sound/magic/magnet.ogg';;;;INVOCATION_SHOUT;
necromancer;code\modules\spells\roguetown\necromancer\raise_undead_formation.dm;/datum/action/cooldown/spell/raise_undead_formation/necromancer;;;;;;;;40 SECONDS;;;;;;
necromancer;code\modules\spells\roguetown\necromancer\raise_undead_guard.dm;/datum/action/cooldown/spell/raise_undead_guard;"""Conjure Undead""";"""Invoke forbidden magicka to summon a mindless, shambling skeleton.\nMindless skeletons can be given orders to guard, patrol, and attack by their summoner.\nThese skeletons are weaker than their more complex-jointed counterparts, but are harder to incapacitate.""";;;;40;6 SECONDS;1 MINUTES;'sound/magic/magnet.ogg';;;;INVOCATION_SHOUT;
necromancer;code\modules\spells\roguetown\necromancer\raise_undead_guard.dm;/datum/action/cooldown/spell/raise_undead_guard/necromancer;;;;;;;;;;;;;;
necromancer;code\modules\spells\roguetown\necromancer\ray_of_sickness.dm;/obj/effect/proc_holder/spell/invoked/projectile/sickness;"""Ray of Sickness""";"""""";;;;;;;list('sound/misc/portal_enter.ogg');"""raiseskele""";;;;
necromancer;code\modules\spells\roguetown\necromancer\tame_undead.dm;/datum/action/cooldown/spell/tame_undead;"""Tame Undead""";"""Oftentymes, husks and shamblers walk aimlessly - uncertain of their future. They need not look further, any longer.\nRequires the target to be within four tiles. Works on undead animals, too.""";;;;40;5 SECONDS;60 SECONDS;;;;;;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\_augment_buff.dm;/datum/action/cooldown/spell/augment_buff;;;;;2;SPELLCOST_STAT_BUFF;CHARGETIME_MINOR;90 SECONDS;'sound/magic/haste.ogg';;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\attune_giant.dm;/datum/action/cooldown/spell/augment_buff/attune_giant;"""Attune: Giant""";"""Strengthen the target. (+4 Strength)\nAttunement - Giant, Hawk, and Haste share a cooldown; only one may be held at a time.""";;2;;;;;;;;;;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\attune_haste.dm;/datum/action/cooldown/spell/augment_buff/attune_haste;"""Attune: Haste""";"""Cause a target to be magically hastened. (+3 Speed, 0.85x Action Cooldown)\nAttunement - Giant, Hawk, and Haste share a cooldown; only one may be held at a time.""";;2;;;;;;;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\attune_hawk.dm;/datum/action/cooldown/spell/augment_buff/attune_hawk;"""Attune: Hawk""";"""Sharpen the target's body and vision. (+1 Strength, +4 Perception)\nAttunement - Giant, Hawk, and Haste share a cooldown; only one may be held at a time.""";;2;;;;;;;;;;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\augment_defense.dm;/datum/action/cooldown/spell/augment_buff/augment_defense;"""Augment Defense""";"""Uses arcyne energy to restore a target's defenses, clearing away any vulnerability or exposure they may have suffered.""";;;;5;;30 SECONDS;;;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\blood_rush.dm;/datum/action/cooldown/spell/augment_buff/blood_rush;"""Blood Rush""";"""Flood the target's veins with a surge of vigor, quickening their body for a short burst.""";;2;;SPELLCOST_BRUSH;;60 SECONDS;;;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\darkvision.dm;/datum/action/cooldown/spell/darkvision;"""Darkvision""";"""Enhance the night vision of yourself and everyone around you for 15 minutes.""";;2;1;SPELLCOST_STAT_BUFF;1 SECONDS;1.5 MINUTES;'sound/magic/haste.ogg';;;;INVOCATION_WHISPER;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\darkvision.dm;/datum/action/cooldown/spell/darkvision/undivided;"""Nitesight""";;;0;0;;;;;;;;;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\enlarge.dm;/datum/action/cooldown/spell/augment_buff/enlarge;"""Enlarge Person""";"""For a time, enlarges your target to a giant hulking version of themselves capable of bashing into doors. Does not work on folk who are already large. Can only be used on members of your fellowship.""";;1;;;;2 MINUTES;;;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\featherfall.dm;/datum/action/cooldown/spell/featherfall;"""Featherfall""";"""Grant yourself and any creatures adjacent to you some defense against falls.""";;1;1;SPELLCOST_UTILITY_BUFF;1 SECONDS;2 MINUTES;'sound/magic/haste.ogg';;;;INVOCATION_WHISPER;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\fortitude.dm;/datum/action/cooldown/spell/augment_buff/fortitude;"""Fortitude""";"""Harden one's humors to the fatigues of the body. (-15% Stamina Usage)""";;3;;;;;;;;;;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\grasp.dm;/datum/action/cooldown/spell/augment_buff/grasp;"""Grasp""";"""Reach out to a target within 7 tiles and wrench them to your side after a 2-second channel. An arcyne tether links you to them while you reel them in, warning them to ready themselves. They must share a fellowship with you and still be within your sight when the channel completes.""";;1;;SPELLCOST_TELEPORT;;45 SECONDS;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\guidance.dm;/datum/action/cooldown/spell/augment_buff/guidance;"""Guidance""";"""Channel arcyne power unto an ally, empowering their next strike to bypass parry and dodge. Works with both weapons and unarmed attacks. \";;2;;;0;30 SECONDS;;;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\leap.dm;/datum/action/cooldown/spell/leap;"""Leap""";"""Empower a target's legs to allow them to leap to great heights for 20 seconds. Does not prevent fall damage.""";;1;2;SPELLCOST_UTILITY_BUFF;1 SECONDS;2 MINUTES;'sound/magic/haste.ogg';;;;INVOCATION_WHISPER;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\nondetection.dm;/datum/action/cooldown/spell/nondetection;"""Nondetection""";"""Shroud a target from divination magic for 1 hour.""";;1;1;SPELLCOST_UTILITY_BUFF;1 SECONDS;10 SECONDS;'sound/magic/haste.ogg';;;;;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\precognition.dm;/datum/action/cooldown/spell/augment_buff/precognition;"""Precognition""";"""Peer a few moments into the future for yourself or an ally, readying them before the moment arrives. Cuts 15 seconds from the remaining cooldown of the target's Defend and Special.""";;2;;SPELLCOST_UTILITY_BUFF;;75 SECONDS;;;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\readomen.dm;/datum/action/cooldown/spell/readomen;"""Read Omen""";"""Casting this spell, you draw upon the leylines themselves to reveal secrets of fate itself. \n\";;1;1;SPELLCOST_CANTRIP;2 SECONDS;2 MINUTES;'sound/magic/whiteflame.ogg';;;;INVOCATION_WHISPER;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\second_chance.dm;/datum/action/cooldown/spell/second_chance;"""Second Chance""";"""Invigorate a target with magickal resilience for 30 seconds - they shrug off critical wounds, and no longer stagger from pain.""";;;;50;CHARGETIME_MINOR;2 MINUTES;'sound/magic/charging.ogg';;;;INVOCATION_SHOUT;
wizard/augmentation;code\modules\spells\spell_types\wizard\augmentation\surge.dm;/datum/action/cooldown/spell/augment_buff/surge;"""Surge""";"""Flood someone's body with vigors, instantly shaking off any stun, bringing them back to their feet. Cannot be cast on yourself""";;2;;SPELLCOST_SURGE;;;;;;;INVOCATION_SHOUT;
wizard/battlewardry;code\modules\spells\spell_types\wizard\battlewardry\arcyne_fortress.dm;/datum/action/cooldown/spell/arcyne_fortress;"""Arcyne Fortress""";"""Channel an immense surge of arcyne energy to erect a 5x5 fortress of arrow wards around yourself. \";;;;SPELLCOST_ULTIMATE;CHARGETIME_HEAVY;90 SECONDS;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/battlewardry;code\modules\spells\spell_types\wizard\battlewardry\arrow_ward.dm;/datum/action/cooldown/spell/arrow_ward;"""Arrow Ward""";"""Conjure a wide barrier of arcyne force in front of you. The barrier blocks incoming projectiles from the front but allows allies and the caster to shoot and walk through freely.""";;;2;SPELLCOST_MINOR_AOE;CHARGETIME_POKE;30 SECONDS;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/battlewardry;code\modules\spells\spell_types\wizard\battlewardry\battle_ward.dm;/datum/action/cooldown/spell/battle_ward;"""Battle Ward""";"""Channel arcyne energy to inscribe a pattern of five rune wards in an X formation on a targeted area. The runes are fragile and last for one minute before fading. In addition, Battle Wards are indiscriminate unlike permanent Rune Wards, and will hit the caster and their allies. They can be circumvented by jumping or flying over them, or destroyed with a few solid hits. The type of rune placed depends on your current ward mode.\n\";;;2;SPELLCOST_MAJOR_AOE;CHARGETIME_HEAVY;20 SECONDS;'sound/magic/charging.ogg';;;;INVOCATION_SHOUT;
wizard/battlewardry;code\modules\spells\spell_types\wizard\battlewardry\bestow_ward.dm;/datum/action/cooldown/spell/bestow_ward;"""Bestow Ward""";"""Channel arcyne energy to wrap an ally in a protective ward. The ward covers their entire body with light armor, \";;;2;SPELLCOST_UTILITY_BUFF;CHARGETIME_HEAVY;1.5 MINUTES;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\_conjure_summon.dm;/datum/action/cooldown/spell/conjure_summon;;;;6;3;SPELLCOST_CONJURE;CHARGETIME_HEAVY;2 MINUTES;'sound/magic/magnet.ogg';;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\arcyne_forge.dm;/datum/action/cooldown/spell/arcyne_forge;"""Arcyne Forge""";"""Conjure a weapon or tool of your choice. Conjured items have halved durability.\n\";;2;2;SPELLCOST_CONJURE;2 SECONDS;1 MINUTES;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\arcyne_forge.dm;/datum/action/cooldown/spell/arcyne_forge/miracle;"""Divine Forge""";;;0;0;;;;;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\command_word.dm;/datum/action/cooldown/spell/command_word;;;;0;3;;;1 SECONDS;null;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\command_word.dm;/datum/action/cooldown/spell/command_word/beckon;"""Beckon""";"""Taunt teleport your servants to a marked spot and attract their aggression, Overload makes one explode with arcyne energy, Focus sets them to strike the zone you are aiming at, it does not guarantee they'll hit.""";;;;;;30 SECONDS;;;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\command_word.dm;/datum/action/cooldown/spell/command_word/fray;"""Fray""";"""Battle order. Order your summon to unleash a Special, or a primordial's special attack. Defend makes it guard. Toggle with Shift-G.""";;;;;;1 SECONDS;;;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\command_word.dm;/datum/action/cooldown/spell/command_word/harry;"""Harry""";"""Order your summons to Feint or Kick your enemies. Toggle with Shift+G. """;;;;;;6 SECONDS;;;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\command_word.dm;/datum/action/cooldown/spell/command_word/quicken;"""Quicken""";"""Powerful abilities to quicken your summons. Empower let their next strike bypass Guard, and reset a Primordial's ability cooldown. Surge removes stun and Blood Rush floods it with vigor and blood. Toggle with Shift+G.""";;;;SPELLCOST_STAT_BUFF;;25 SECONDS;;;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_aegis.dm;/datum/action/cooldown/spell/conjure_aegis;"""Arcyne Aegis""";"""Project a shield of arcyne force into my offhand. It answers to my Arcyne Armament rather than the shieldwall's drill, and holds its shape until dispelled, shattered, or I am parted from it. Cast again with a free offhand to renew it.""";;2;2;150;5 SECONDS;120 SECONDS;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;/datum/action/cooldown/spell/conjure_arcyne_ward;"""Conjure Arcyne Ward""";"""Conjure an invisible arcyne ward that covers your entire body. Cast again to dismiss it. \";;2;2;130;6 SECONDS;2 MINUTES;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;/datum/action/cooldown/spell/conjure_arcyne_ward/crystalhide;"""Conjure Crystalhide Ward""";"""Conjure a crystalhide ward - an upgraded arcyne ward crystallized with leyline energy. \";;4;3;;6 SECONDS;;;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;/datum/action/cooldown/spell/conjure_arcyne_ward/dragonhide;"""Conjure Dragonhide Ward""";"""Conjure a dragonhide ward - an upgraded arcyne ward hardened with draconic scales. \";;4;;;;;;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;/datum/action/cooldown/spell/regenerate_arcyne_ward;"""Regenerate Arcyne Ward""";"""Channel a restoration on my active Arcyne Ward, returning it to full integrity. \";;;2;130;10 SECONDS;2 MINUTES;'sound/magic/whiteflame.ogg';;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;/datum/action/cooldown/spell/regenerate_arcyne_ward/crystalhide;"""Regenerate Crystalhide Ward""";;;;3;;;;;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;/datum/action/cooldown/spell/regenerate_arcyne_ward/dragonhide;"""Regenerate Dragonhide Ward""";;;;2;;;;;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_dismiss.dm;/datum/action/cooldown/spell/conjure_dismiss;"""Dismiss Conjuration""";"""Channel briefly to release your conjured servants back to the leyline. They vanish without violent shock, but the more hurt your servants are, the more of a backlash you will suffer. You are left open while you channel.""";;0;3;;3 SECONDS;30 SECONDS;null;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_instrument.dm;/datum/action/cooldown/spell/conjure_instrument;"""Conjure Instrument""";"""Conjure a Instrument of your choice in your hand.\n\";;1;1;SPELLCOST_CANTRIP;1 SECONDS;1 MINUTES;'sound/magic/buffrollaccent.ogg';;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_instrument.dm;/datum/action/cooldown/spell/conjure_instrument/miracle;;;;;;;;;;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_primordial.dm;/datum/action/cooldown/spell/conjure_summon/primordial;"""Conjure Primordial""";"""Conjure a Primordial to fight at your side. Toggle its element with Shift+G while the spell is selected: Flame, Water, or Air. \";;;;;;;;;;;;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_spectacles.dm;/datum/action/cooldown/spell/conjure_spectacles;"""Conjure Spectacles""";"""Conjure an illusionary set of Spectacles of your choice in your hand.\n\";;0;1;SPELLCOST_CANTRIP;1 SECONDS;30 SECONDS;'sound/magic/whiteflame.ogg';;;;INVOCATION_SHOUT;
wizard/conjure;code\modules\spells\spell_types\wizard\conjure\conjure_spectacles.dm;/datum/action/cooldown/spell/conjure_spectacles/miracle;;;;;;;;;;;;;;
